order_id,basket_item_id,ordered_product_skus,price_amount,basket_total
1,1,29,30,30
2,2,18,3,303
2,3,22,75,303
2,4,3,130,303
2,5,11,70,303
2,6,38,25,303
3,7,18,3,3
4,8,6,5,149
4,9,11,70,149
4,10,21,54,149
4,11,33,20,149
5,12,17,3,68
5,13,27,65,68
6,14,5,50,50
7,15,20,17,17
8,16,20,17,17
9,17,26,150,150
10,18,26,150,150
11,19,20,17,147
11,20,3,130,147
12,21,16,120,152
12,22,39,15,152
12,23,20,17,152
13,24,34,20,20
14,25,21,54,149
14,26,7,95,149
15,27,19,3,3
16,28,11,70,315
16,29,32,115,315
16,30,3,130,315
17,31,22,75,105
17,32,36,30,105
18,33,7,95,775
18,34,28,75,775
18,35,8,25,775
18,36,14,450,775
18,37,3,130,775
19,38,39,15,15
20,39,10,40,163
20,40,18,3,163
20,41,16,120,163
21,42,33,20,20
22,43,35,20,159
22,44,21,54,159
22,45,23,85,159
23,46,36,30,310
23,47,3,130,310
23,48,22,75,310
23,49,22,75,310
24,50,37,30,34
24,51,13,4,34
25,52,38,25,25
26,53,2,250,250
27,54,39,15,15
28,55,10,40,132
28,56,20,17,132
28,57,28,75,132
29,58,11,70,120
29,59,35,20,120
29,60,36,30,120
30,61,35,20,59
30,62,19,3,59
30,63,36,30,59
30,64,30,6,59
31,65,14,450,450
32,66,35,20,320
32,67,22,75,320
32,68,1,225,320
33,69,26,150,204
33,70,21,54,204
34,71,3,130,130
35,72,18,3,106
35,73,12,4,106
35,74,24,99,106
36,75,13,4,4
37,76,32,115,115
38,77,32,115,480
38,78,32,115,480
38,79,16,120,480
38,80,3,130,480
39,81,36,30,47
39,82,20,17,47
40,83,21,54,184
40,84,3,130,184
41,85,33,20,95
41,86,22,75,95
42,87,19,3,3
43,88,4,30,30
44,89,1,225,225
45,90,17,3,33
45,91,36,30,33
46,92,21,54,54
47,93,36,30,47
47,94,20,17,47
48,95,6,5,85
48,96,6,5,85
48,97,22,75,85
49,98,3,130,150
49,99,34,20,150
50,100,21,54,519
50,101,16,120,519
50,102,1,225,519
50,103,16,120,519
51,104,12,4,4
52,105,7,95,95
53,106,1,225,225
54,107,22,75,75
55,108,29,30,34
55,109,12,4,34
56,110,10,40,40
57,111,20,17,112
57,112,7,95,112
58,113,7,95,95
59,114,10,40,44
59,115,12,4,44
60,116,27,65,294
60,117,13,4,294
60,118,1,225,294
61,119,31,25,233
61,120,17,3,233
61,121,3,130,233
61,122,22,75,233
62,123,10,40,57
62,124,20,17,57
63,125,21,54,74
63,126,33,20,74
64,127,38,25,170
64,128,39,15,170
64,129,27,65,170
64,130,27,65,170
65,131,30,6,26
65,132,35,20,26
66,133,40,24,106
66,134,17,3,106
66,135,25,79,106
67,136,7,95,190
67,137,7,95,190
68,138,21,54,138
68,139,4,30,138
68,140,21,54,138
69,141,39,15,90
69,142,22,75,90
70,143,21,54,197
70,144,16,120,197
70,145,35,20,197
70,146,17,3,197
71,147,17,3,3
72,148,32,115,490
72,149,1,225,490
72,150,28,75,490
72,151,22,75,490
73,152,14,450,450
74,153,19,3,316
74,154,18,3,316
74,155,4,30,316
74,156,6,5,316
74,157,8,25,316
74,158,2,250,316
75,159,39,15,114
75,160,24,99,114
76,161,37,30,30
77,162,7,95,95
78,163,18,3,68
78,164,27,65,68
79,165,17,3,3
80,166,37,30,30
81,167,35,20,350
81,168,1,225,350
81,169,10,40,350
81,170,27,65,350
82,171,20,17,162
82,172,16,120,162
82,173,8,25,162
83,174,14,450,450
84,175,38,25,25
85,176,27,65,290
85,177,1,225,290
86,178,32,115,242
86,179,16,120,242
86,180,12,4,242
86,181,18,3,242
87,182,27,65,404
87,183,21,54,404
87,184,27,65,404
87,185,11,70,404
87,186,26,150,404
88,187,24,99,164
88,188,39,15,164
88,189,33,20,164
88,190,36,30,164
89,191,33,20,41
89,192,12,4,41
89,193,20,17,41
90,194,13,4,479
90,195,8,25,479
90,196,14,450,479
91,197,27,65,65
92,198,7,95,95
93,199,13,4,86
93,200,25,79,86
93,201,17,3,86
94,202,30,6,6
95,203,10,40,252
95,204,23,85,252
95,205,17,3,252
95,206,11,70,252
95,207,21,54,252
96,208,22,75,75
97,209,16,120,215
97,210,7,95,215
98,211,16,120,252
98,212,34,20,252
98,213,28,75,252
98,214,20,17,252
98,215,34,20,252
99,216,22,75,275
99,217,3,130,275
99,218,11,70,275
100,219,6,5,53
100,220,17,3,53
100,221,39,15,53
100,222,36,30,53
101,223,30,6,6
102,224,22,75,205
102,225,3,130,205
103,226,33,20,110
103,227,18,3,110
103,228,17,3,110
103,229,21,54,110
103,230,4,30,110
104,231,38,25,89
104,232,36,30,89
104,233,20,17,89
104,234,20,17,89
105,235,3,130,307
105,236,36,30,307
105,237,20,17,307
105,238,32,115,307
105,239,39,15,307
106,240,27,65,164
106,241,24,99,164
107,242,1,225,295
107,243,5,50,295
107,244,35,20,295
108,245,3,130,130
109,246,30,6,6
110,247,18,3,176
110,248,18,3,176
110,249,10,40,176
110,250,3,130,176
111,251,10,40,60
111,252,35,20,60
112,253,3,130,130
113,254,13,4,4
114,255,1,225,275
114,256,5,50,275
115,257,10,40,40
116,258,5,50,80
116,259,4,30,80
117,260,36,30,150
117,261,16,120,150
118,262,40,24,24
119,263,33,20,140
119,264,16,120,140
120,265,2,250,250
121,266,20,17,37
121,267,34,20,37
122,268,6,5,5
123,269,24,99,99
124,270,34,20,20
125,271,31,25,233
125,272,26,150,233
125,273,31,25,233
125,274,18,3,233
125,275,36,30,233
126,276,10,40,40
127,277,1,225,740
127,278,27,65,740
127,279,14,450,740
128,280,14,450,450
129,281,33,20,20
130,282,22,75,75
131,283,1,225,282
131,284,20,17,282
131,285,10,40,282
132,286,13,4,69
132,287,27,65,69
133,288,16,120,219
133,289,33,20,219
133,290,25,79,219
134,291,39,15,270
134,292,39,15,270
134,293,16,120,270
134,294,16,120,270
135,295,16,120,120
136,296,36,30,30
137,297,39,15,90
137,298,22,75,90
138,299,33,20,20
139,300,16,120,123
139,301,17,3,123
140,302,22,75,325
140,303,3,130,325
140,304,16,120,325
141,305,20,17,17
142,306,20,17,467
142,307,14,450,467
143,308,33,20,120
143,309,8,25,120
143,310,22,75,120
144,311,20,17,17
145,312,35,20,95
145,313,22,75,95
146,314,1,225,225
147,315,36,30,183
147,316,22,75,183
147,317,22,75,183
147,318,18,3,183
148,319,36,30,47
148,320,20,17,47
149,321,33,20,23
149,322,17,3,23
150,323,33,20,143
150,324,16,120,143
150,325,17,3,143
151,326,30,6,231
151,327,1,225,231
152,328,30,6,6
153,329,39,15,358
153,330,35,20,358
153,331,17,3,358
153,332,11,70,358
153,333,2,250,358
154,334,15,80,100
154,335,33,20,100
155,336,15,80,264
155,337,32,115,264
155,338,8,25,264
155,339,13,4,264
155,340,10,40,264
156,341,34,20,135
156,342,23,85,135
156,343,4,30,135
157,344,19,3,3
158,345,22,75,90
158,346,39,15,90
159,347,21,54,133
159,348,25,79,133
160,349,33,20,90
160,350,11,70,90
161,351,26,150,150
162,352,18,3,82
162,353,22,75,82
162,354,12,4,82
163,355,16,120,120
164,356,15,80,80
165,357,39,15,72
165,358,21,54,72
165,359,17,3,72
166,360,36,30,54
166,361,40,24,54
167,362,31,25,99
167,363,35,20,99
167,364,21,54,99
168,365,33,20,20
169,366,6,5,287
169,367,20,17,287
169,368,1,225,287
169,369,10,40,287
170,370,26,150,314
170,371,12,4,314
170,372,28,75,314
170,373,23,85,314
171,374,22,75,75
172,375,30,6,156
172,376,26,150,156
173,377,5,50,50
174,378,30,6,59
174,379,39,15,59
174,380,39,15,59
174,381,35,20,59
174,382,19,3,59
175,383,33,20,24
175,384,13,4,24
176,385,35,20,290
176,386,26,150,290
176,387,16,120,290
177,388,29,30,60
177,389,29,30,60
178,390,2,250,250
179,391,5,50,50
180,392,10,40,40
181,393,1,225,348
181,394,16,120,348
181,395,17,3,348
182,396,13,4,4
183,397,8,25,25
184,398,28,75,249
184,399,22,75,249
184,400,24,99,249
185,401,8,25,25
186,402,3,130,170
186,403,10,40,170
187,404,14,450,604
187,405,12,4,604
187,406,22,75,604
187,407,22,75,604
188,408,7,95,95
189,409,7,95,125
189,410,36,30,125
190,411,12,4,4
191,412,21,54,54
192,413,26,150,235
192,414,23,85,235
193,415,13,4,82
193,416,22,75,82
193,417,18,3,82
194,418,9,60,214
194,419,35,20,214
194,420,3,130,214
194,421,12,4,214
195,422,2,250,475
195,423,1,225,475
196,424,9,60,60
197,425,35,20,180
197,426,16,120,180
197,427,10,40,180
198,428,12,4,119
198,429,32,115,119
199,430,35,20,67
199,431,36,30,67
199,432,20,17,67
200,433,28,75,264
200,434,9,60,264
200,435,21,54,264
200,436,22,75,264
201,437,39,15,45
201,438,29,30,45
202,439,35,20,20
203,440,35,20,20
204,441,24,99,99
205,442,15,80,330
205,443,10,40,330
205,444,15,80,330
205,445,3,130,330
206,446,12,4,75
206,447,21,54,75
206,448,20,17,75
207,449,16,120,471
207,450,30,6,471
207,451,1,225,471
207,452,16,120,471
208,453,32,115,115
209,454,23,85,235
209,455,26,150,235
210,456,16,120,180
210,457,9,60,180
211,458,38,25,79
211,459,21,54,79
212,460,25,79,529
212,461,14,450,529
213,462,29,30,30
214,463,34,20,140
214,464,16,120,140
215,465,2,250,277
215,466,35,20,277
215,467,13,4,277
215,468,19,3,277
216,469,24,99,349
216,470,2,250,349
217,471,27,65,85
217,472,35,20,85
218,473,24,99,99
219,474,18,3,3
220,475,24,99,99
221,476,29,30,150
221,477,16,120,150
222,478,30,6,6
223,479,30,6,26
223,480,35,20,26
224,481,31,25,31
224,482,18,3,31
224,483,18,3,31
225,484,21,54,54
226,485,36,30,705
226,486,14,450,705
226,487,1,225,705
227,488,18,3,23
227,489,33,20,23
228,490,20,17,17
229,491,33,20,222
229,492,21,54,222
229,493,3,130,222
229,494,39,15,222
229,495,17,3,222
230,496,27,65,65
231,497,32,115,249
231,498,36,30,249
231,499,25,79,249
231,500,38,25,249
232,501,23,85,85
233,502,18,3,3
234,503,17,3,6
234,504,18,3,6
235,505,39,15,20
235,506,6,5,20
236,507,28,75,75
237,508,6,5,5
238,509,17,3,147
238,510,16,120,147
238,511,40,24,147
239,512,8,25,99
239,513,40,24,99
239,514,5,50,99
240,515,37,30,95
240,516,27,65,95
241,517,27,65,65
242,518,1,225,225
243,519,18,3,23
243,520,34,20,23
244,521,28,75,125
244,522,33,20,125
244,523,36,30,125
245,524,35,20,20
246,525,2,250,250
247,526,6,5,5
248,527,27,65,65
249,528,39,15,15
250,529,10,40,40
251,530,34,20,20
252,531,21,54,54
253,532,16,120,373
253,533,2,250,373
253,534,18,3,373
254,535,39,15,15
255,536,22,75,199
255,537,25,79,199
255,538,38,25,199
255,539,35,20,199
256,540,20,17,47
256,541,36,30,47
257,542,27,65,176
257,543,30,6,176
257,544,36,30,176
257,545,28,75,176
258,546,36,30,299
258,547,9,60,299
258,548,25,79,299
258,549,27,65,299
258,550,27,65,299
259,551,4,30,87
259,552,17,3,87
259,553,37,30,87
259,554,40,24,87
260,555,16,120,126
260,556,30,6,126
261,557,6,5,110
261,558,8,25,110
261,559,6,5,110
261,560,22,75,110
262,561,35,20,20
263,562,32,115,115
264,563,9,60,314
264,564,11,70,314
264,565,24,99,314
264,566,23,85,314
265,567,17,3,7
265,568,13,4,7
266,569,18,3,3
267,570,2,250,612
267,571,20,17,612
267,572,16,120,612
267,573,1,225,612
