order_id,order_date,user_id,partner_id,ordered_product_skus,currency,basket_total,profit,referrer
1,2023-11-11 18:37:05,4,3,[29],USD,30,1.7999999999999998,instagram
2,2023-11-15 12:10:08,3,3,"[18, 22, 3, 11, 38]",USD,303,18.18,direct
3,2023-11-22 01:22:18,74,4,[18],USD,3,0.66,instagram
4,2023-11-22 23:32:41,10,9,"[6, 11, 21, 33]",USD,149,4.47,organic
5,2023-11-24 16:28:43,32,8,"[17, 27]",USD,68,7.48,facebook
6,2023-11-25 06:11:47,76,4,[5],USD,50,11.0,ppc
7,2023-11-26 06:03:46,112,7,[20],USD,17,1.1900000000000002,instagram
8,2023-11-26 08:48:03,50,6,[20],USD,17,2.89,facebook
9,2023-11-26 17:41:13,43,4,[26],USD,150,33.0,instagram
10,2023-11-27 05:50:18,56,5,[26],USD,150,12.0,instagram
11,2023-11-28 01:23:29,146,9,"[20, 3]",USD,147,4.41,ppc
12,2023-11-28 07:56:49,110,1,"[16, 39, 20]",USD,152,27.36,organic
13,2023-11-28 09:59:20,65,3,[34],USD,20,1.2,instagram
14,2023-12-01 03:02:09,35,5,"[21, 7]",USD,149,11.92,twitter
15,2023-12-02 01:28:30,82,1,[19],USD,3,0.54,ppc
16,2023-12-03 03:39:17,28,9,"[11, 32, 3]",USD,315,9.45,ppc
17,2023-12-04 07:50:57,142,9,"[22, 36]",USD,105,3.15,instagram
18,2023-12-04 12:26:32,46,1,"[7, 28, 8, 14, 3]",USD,775,139.5,organic
19,2023-12-05 02:33:01,179,4,[39],USD,15,3.3,ppc
20,2023-12-05 02:45:03,148,3,"[10, 18, 16]",USD,163,9.78,instagram
21,2023-12-05 05:39:33,131,9,[33],USD,20,0.6,ppc
22,2023-12-07 05:14:05,203,4,"[35, 21, 23]",USD,159,34.98,ppc
23,2023-12-07 06:35:13,206,8,"[36, 3, 22, 22]",USD,310,34.1,ppc
24,2023-12-08 21:36:09,132,7,"[37, 13]",USD,34,2.3800000000000003,facebook
25,2023-12-09 00:25:39,267,7,[38],USD,25,1.7500000000000002,instagram
26,2023-12-09 03:18:29,17,9,[2],USD,250,7.5,instagram
27,2023-12-09 10:04:43,141,3,[39],USD,15,0.8999999999999999,ppc
28,2023-12-09 19:43:01,37,1,"[10, 20, 28]",USD,132,23.759999999999998,organic
29,2023-12-10 21:33:33,255,5,"[11, 35, 36]",USD,120,9.6,ppc
30,2023-12-11 08:06:03,231,3,"[35, 19, 36, 30]",USD,59,3.54,organic
31,2023-12-11 21:43:33,41,8,[14],USD,450,49.5,instagram
32,2023-12-11 22:55:55,170,9,"[35, 22, 1]",USD,320,9.6,twitter
33,2023-12-12 00:13:03,11,7,"[26, 21]",USD,204,14.280000000000001,instagram
34,2023-12-12 08:11:52,272,9,[3],USD,130,3.9,facebook
35,2023-12-12 14:55:17,135,4,"[18, 12, 24]",USD,106,23.32,ppc
36,2023-12-12 15:14:45,90,3,[13],USD,4,0.24,instagram
37,2023-12-12 20:53:47,84,9,[32],USD,115,3.4499999999999997,facebook
38,2023-12-12 22:51:21,146,4,"[32, 32, 16, 3]",USD,480,105.6,ppc
39,2023-12-13 00:35:48,136,6,"[36, 20]",USD,47,7.99,twitter
40,2023-12-13 00:38:05,80,4,"[21, 3]",USD,184,40.48,ppc
41,2023-12-13 01:18:52,249,5,"[33, 22]",USD,95,7.6000000000000005,ppc
42,2023-12-13 02:01:41,124,7,[19],USD,3,0.21000000000000002,direct
43,2023-12-13 08:10:59,220,5,[4],USD,30,2.4,ppc
44,2023-12-13 13:38:00,39,9,[1],USD,225,6.75,organic
45,2023-12-14 13:42:23,36,7,"[17, 36]",USD,33,2.31,instagram
46,2023-12-14 22:02:13,215,9,[21],USD,54,1.6199999999999999,facebook
47,2023-12-14 23:48:11,64,7,"[36, 20]",USD,47,3.2900000000000005,organic
48,2023-12-15 00:15:03,325,4,"[6, 6, 22]",USD,85,18.7,facebook
49,2023-12-15 04:31:42,145,9,"[3, 34]",USD,150,4.5,ppc
50,2023-12-15 07:13:38,75,4,"[21, 16, 1, 16]",USD,519,114.18,ppc
51,2023-12-15 12:00:35,262,3,[12],USD,4,0.24,direct
52,2023-12-15 14:17:53,73,3,[7],USD,95,5.7,organic
53,2023-12-15 17:16:42,285,7,[1],USD,225,15.750000000000002,facebook
54,2023-12-15 18:25:04,193,4,[22],USD,75,16.5,ppc
55,2023-12-15 18:37:32,35,9,"[29, 12]",USD,34,1.02,direct
56,2023-12-15 19:13:05,3,4,[10],USD,40,8.8,facebook
57,2023-12-15 20:36:44,26,4,"[20, 7]",USD,112,24.64,organic
58,2023-12-15 22:47:14,46,4,[7],USD,95,20.9,ppc
59,2023-12-16 08:45:48,17,9,"[10, 12]",USD,44,1.3199999999999998,instagram
60,2023-12-16 08:50:28,16,1,"[27, 13, 1]",USD,294,52.919999999999995,instagram
61,2023-12-16 13:46:00,110,9,"[31, 17, 3, 22]",USD,233,6.989999999999999,ppc
62,2023-12-16 17:34:42,315,8,"[10, 20]",USD,57,6.2700000000000005,ppc
63,2023-12-16 19:06:43,154,3,"[21, 33]",USD,74,4.4399999999999995,ppc
