order_id,basket_item_id,ordered_product_skus,price_amount,basket_total
1,1,36,30,105
1,2,28,75,105
2,3,26,150,276
2,4,16,120,276
2,5,30,6,276
3,6,15,80,83
3,7,19,3,83
4,8,10,40,40
5,9,18,3,3
6,10,25,79,79
7,11,7,95,95
8,12,13,4,4
9,13,40,24,369
9,14,1,225,369
9,15,7,95,369
9,16,8,25,369
10,17,24,99,124
10,18,31,25,124
11,19,25,79,104
11,20,8,25,104
12,21,40,24,144
12,22,16,120,144
13,23,8,25,120
13,24,7,95,120
14,25,1,225,245
14,26,35,20,245
15,27,40,24,149
15,28,27,65,149
15,29,9,60,149
16,30,16,120,120
17,31,16,120,400
17,32,4,30,400
17,33,2,250,400
18,34,16,120,120
19,35,38,25,49
19,36,40,24,49
20,37,36,30,121
20,38,4,30,121
20,39,4,30,121
20,40,30,6,121
20,41,8,25,121
21,42,21,54,279
21,43,1,225,279
22,44,3,130,130
23,45,39,15,15
24,46,7,95,120
24,47,8,25,120
25,48,22,75,664
25,49,1,225,664
25,50,32,115,664
25,51,1,225,664
25,52,40,24,664
26,53,9,60,180
26,54,16,120,180
27,55,24,99,122
27,56,30,6,122
27,57,20,17,122
28,58,8,25,29
28,59,13,4,29
29,60,5,50,429
29,61,12,4,429
29,62,35,20,429
29,63,3,130,429
29,64,1,225,429
30,65,17,3,253
30,66,8,25,253
30,67,1,225,253
31,68,10,40,230
31,69,38,25,230
31,70,37,30,230
31,71,9,60,230
31,72,22,75,230
32,73,4,30,84
32,74,21,54,84
33,75,9,60,315
33,76,15,80,315
33,77,38,25,315
33,78,26,150,315
34,79,34,20,20
35,80,18,3,3
36,81,34,20,100
36,82,9,60,100
36,83,33,20,100
37,84,37,30,95
37,85,27,65,95
38,86,9,60,390
38,87,1,225,390
38,88,27,65,390
38,89,10,40,390
39,90,39,15,69
39,91,21,54,69
40,92,9,60,60
41,93,24,99,99
42,94,9,60,130
42,95,4,30,130
42,96,10,40,130
43,97,27,65,65
44,98,4,30,50
44,99,34,20,50
45,100,5,50,50
46,101,31,25,145
46,102,16,120,145
47,103,5,50,50
48,104,2,250,250
49,105,15,80,80
50,106,21,54,54
51,107,7,95,95
52,108,29,30,30
53,109,30,6,6
54,110,26,150,150
55,111,7,95,95
56,112,9,60,60
57,113,9,60,159
57,114,24,99,159
58,115,22,75,500
58,116,1,225,500
58,117,15,80,500
58,118,16,120,500
59,119,13,4,4
60,120,24,99,184
60,121,10,40,184
60,122,10,40,184
60,123,6,5,184
61,124,5,50,253
61,125,26,150,253
61,126,5,50,253
61,127,18,3,253
62,128,30,6,6
63,129,31,25,25
64,130,1,225,225
65,131,14,450,515
65,132,27,65,515
66,133,8,25,140
66,134,32,115,140
67,135,1,225,328
67,136,24,99,328
67,137,12,4,328
68,138,31,25,165
68,139,38,25,165
68,140,23,85,165
68,141,37,30,165
69,142,8,25,475
69,143,14,450,475
70,144,6,5,5
71,145,1,225,364
71,146,21,54,364
71,147,30,6,364
71,148,13,4,364
71,149,22,75,364
72,150,10,40,232
72,151,37,30,232
72,152,9,60,232
72,153,24,99,232
72,154,19,3,232
73,155,38,25,210
73,156,4,30,210
73,157,10,40,210
73,158,32,115,210
74,159,22,75,150
74,160,22,75,150
75,161,7,95,275
75,162,27,65,275
75,163,7,95,275
75,164,35,20,275
76,165,5,50,50
77,166,32,115,284
77,167,11,70,284
77,168,24,99,284
78,169,25,79,79
79,170,9,60,186
79,171,16,120,186
79,172,30,6,186
80,173,37,30,30
81,174,10,40,40
82,175,40,24,474
82,176,14,450,474
83,177,38,25,125
83,178,8,25,125
83,179,22,75,125
84,180,5,50,80
84,181,4,30,80
85,182,35,20,20
86,183,21,54,94
86,184,10,40,94
87,185,18,3,259
87,186,1,225,259
87,187,17,3,259
87,188,18,3,259
87,189,8,25,259
88,190,31,25,25
89,191,32,115,115
90,192,36,30,100
90,193,11,70,100
91,194,25,79,149
91,195,11,70,149
92,196,16,120,123
92,197,17,3,123
93,198,22,75,125
93,199,5,50,125
94,200,16,120,220
94,201,8,25,220
94,202,22,75,220
95,203,33,20,20
96,204,19,3,3
97,205,25,79,79
98,206,5,50,50
99,207,20,17,17
100,208,40,24,24
101,209,40,24,24
102,210,14,450,450
103,211,35,20,53
103,212,4,30,53
103,213,17,3,53
104,214,7,95,269
104,215,22,75,269
104,216,24,99,269
105,217,24,99,169
105,218,11,70,169
