order_id,order_date,user_id,partner_id,ordered_product_skus,currency,basket_total,profit,referrer
1,2022-01-05 03:51:25,2,4,"[36, 28]",USD,105,23.1,ppc
2,2022-01-06 20:25:33,28,4,"[26, 16, 30]",USD,276,60.72,organic
3,2022-01-13 05:05:41,42,4,"[15, 19]",USD,83,18.26,facebook
4,2022-01-13 18:27:05,71,4,[10],USD,40,8.8,ppc
5,2022-01-14 17:27:15,25,4,[18],USD,3,0.66,organic
6,2022-01-14 23:43:53,37,3,[25],USD,79,4.74,direct
7,2022-01-15 00:22:04,36,1,[7],USD,95,17.099999999999998,instagram
8,2022-01-16 08:35:07,83,4,[13],USD,4,0.88,organic
9,2022-01-16 21:24:50,97,4,"[40, 1, 7, 8]",USD,369,81.18,facebook
10,2022-01-16 22:27:25,99,5,"[24, 31]",USD,124,9.92,instagram
11,2022-01-17 10:35:52,54,5,"[25, 8]",USD,104,8.32,instagram
12,2022-01-17 12:37:50,74,5,"[40, 16]",USD,144,11.52,twitter
13,2022-01-17 16:52:53,93,5,"[8, 7]",USD,120,9.6,facebook
14,2022-01-18 18:08:36,82,5,"[1, 35]",USD,245,19.6,ppc
15,2022-01-18 18:30:04,108,3,"[40, 27, 9]",USD,149,8.94,instagram
16,2022-01-18 20:06:53,55,3,[16],USD,120,7.199999999999999,instagram
17,2022-01-19 01:01:21,91,1,"[16, 4, 2]",USD,400,72.0,instagram
18,2022-01-19 05:06:10,94,4,[16],USD,120,26.4,organic
19,2022-01-19 05:38:18,15,3,"[38, 40]",USD,49,2.94,ppc
20,2022-01-19 09:34:20,83,3,"[36, 4, 4, 30, 8]",USD,121,7.26,instagram
21,2022-01-19 11:10:16,54,4,"[21, 1]",USD,279,61.38,facebook
22,2022-01-19 12:59:20,50,4,[3],USD,130,28.6,ppc
23,2022-01-19 19:44:54,40,4,[39],USD,15,3.3,ppc
24,2022-01-20 00:48:50,47,5,"[7, 8]",USD,120,9.6,instagram
25,2022-01-20 03:27:18,2,5,"[22, 1, 32, 1, 40]",USD,664,53.120000000000005,ppc
26,2022-01-20 04:06:58,53,4,"[9, 16]",USD,180,39.6,organic
27,2022-01-20 06:29:00,93,4,"[24, 30, 20]",USD,122,26.84,facebook
28,2022-01-21 02:30:36,70,3,"[8, 13]",USD,29,1.74,organic
29,2022-01-21 08:19:19,113,2,"[5, 12, 35, 3, 1]",USD,429,60.06,organic
30,2022-01-21 15:52:05,26,4,"[17, 8, 1]",USD,253,55.660000000000004,organic
31,2022-01-21 16:06:12,117,3,"[10, 38, 37, 9, 22]",USD,230,13.799999999999999,facebook
32,2022-01-21 18:25:15,54,3,"[4, 21]",USD,84,5.04,organic
33,2022-01-21 20:30:30,42,5,"[9, 15, 38, 26]",USD,315,25.2,twitter
34,2022-01-22 11:26:07,97,4,[34],USD,20,4.4,ppc
35,2022-01-22 23:18:01,26,4,[18],USD,3,0.66,instagram
36,2022-01-23 11:04:08,103,3,"[34, 9, 33]",USD,100,6.0,ppc
37,2022-01-23 17:52:37,116,2,"[37, 27]",USD,95,13.3,direct
38,2022-01-24 07:58:35,87,4,"[9, 1, 27, 10]",USD,390,85.8,ppc
39,2022-01-24 09:50:31,29,4,"[39, 21]",USD,69,15.18,instagram
40,2022-01-24 17:11:12,57,1,[9],USD,60,10.799999999999999,instagram
41,2022-01-24 18:01:22,16,4,[24],USD,99,21.78,instagram
42,2022-01-24 18:09:31,40,4,"[9, 4, 10]",USD,130,28.6,ppc
43,2022-01-25 00:24:14,111,4,[27],USD,65,14.3,instagram
44,2022-01-25 12:54:41,122,2,"[4, 34]",USD,50,7.000000000000001,facebook
45,2022-01-25 14:53:46,25,3,[5],USD,50,3.0,instagram
46,2022-01-25 16:36:44,34,5,"[31, 16]",USD,145,11.6,facebook
47,2022-01-25 18:07:40,84,5,[5],USD,50,4.0,ppc
48,2022-01-25 18:41:37,26,4,[2],USD,250,55.0,facebook
49,2022-01-26 02:17:37,53,5,[15],USD,80,6.4,instagram
50,2022-01-26 02:56:49,73,1,[21],USD,54,9.719999999999999,facebook
51,2022-01-26 03:31:28,131,3,[7],USD,95,5.7,ppc
52,2022-01-26 03:51:02,140,5,[29],USD,30,2.4,ppc
53,2022-01-26 11:44:40,83,3,[30],USD,6,0.36,ppc
54,2022-01-26 17:16:50,141,1,[26],USD,150,27.0,instagram
55,2022-01-26 20:46:35,162,4,[7],USD,95,20.9,facebook
56,2022-01-27 02:39:12,107,4,[9],USD,60,13.2,facebook
57,2022-01-27 02:56:49,85,3,"[9, 24]",USD,159,9.54,instagram
58,2022-01-27 08:52:39,91,2,"[22, 1, 15, 16]",USD,500,70.0,organic
59,2022-01-27 09:51:46,120,4,[13],USD,4,0.88,instagram
60,2022-01-27 13:19:54,36,3,"[24, 10, 10, 6]",USD,184,11.04,ppc
61,2022-01-27 15:52:45,161,3,"[5, 26, 5, 18]",USD,253,15.18,instagram
62,2022-01-27 19:43:07,125,5,[30],USD,6,0.48,facebook
63,2022-01-27 21:50:51,106,2,[31],USD,25,3.5000000000000004,instagram
64,2022-01-27 22:25:11,7,3,[1],USD,225,13.5,ppc
65,2022-01-27 23:07:19,70,4,"[14, 27]",USD,515,113.3,facebook
66,2022-01-27 23:44:21,84,4,"[8, 32]",USD,140,30.8,ppc
67,2022-01-28 03:48:32,95,2,"[1, 24, 12]",USD,328,45.92,ppc
68,2022-01-28 04:16:36,145,3,"[31, 38, 23, 37]",USD,165,9.9,twitter
69,2022-01-28 08:10:14,8,4,"[8, 14]",USD,475,104.5,direct
70,2022-01-28 23:05:31,150,4,[6],USD,5,1.1,instagram
71,2022-01-29 00:19:17,45,4,"[1, 21, 30, 13, 22]",USD,364,80.08,facebook
72,2022-01-29 01:33:27,158,4,"[10, 37, 9, 24, 19]",USD,232,51.04,facebook
73,2022-01-29 02:33:33,159,3,"[38, 4, 10, 32]",USD,210,12.6,instagram
74,2022-01-29 12:43:38,103,4,"[22, 22]",USD,150,33.0,facebook
75,2022-01-29 15:10:06,116,1,"[7, 27, 7, 35]",USD,275,49.5,instagram
76,2022-01-29 15:58:09,150,4,[5],USD,50,11.0,instagram
77,2022-01-29 16:25:08,71,3,"[32, 11, 24]",USD,284,17.04,instagram
78,2022-01-29 18:55:56,115,4,[25],USD,79,17.38,ppc
79,2022-01-29 19:19:13,109,3,"[9, 16, 30]",USD,186,11.16,organic
80,2022-01-29 20:34:25,155,4,[37],USD,30,6.6,organic
81,2022-01-30 00:56:49,135,1,[10],USD,40,7.199999999999999,ppc
82,2022-01-30 04:56:49,174,5,"[40, 14]",USD,474,37.92,facebook
83,2022-01-30 11:17:31,84,4,"[38, 8, 22]",USD,125,27.5,ppc
84,2022-01-30 14:07:11,44,1,"[5, 4]",USD,80,14.399999999999999,organic
85,2022-01-30 18:06:08,79,4,[35],USD,20,4.4,instagram
86,2022-01-30 23:29:24,143,2,"[21, 10]",USD,94,13.160000000000002,instagram
87,2022-01-31 00:43:45,62,3,"[18, 1, 17, 18, 8]",USD,259,15.54,direct
88,2022-01-31 02:35:49,2,1,[31],USD,25,4.5,twitter
89,2022-01-31 09:02:08,103,4,[32],USD,115,25.3,instagram
90,2022-01-31 16:44:57,8,4,"[36, 11]",USD,100,22.0,organic
91,2022-01-31 20:09:35,143,4,"[25, 11]",USD,149,32.78,direct
92,2022-02-01 00:43:31,144,3,"[16, 17]",USD,123,7.38,ppc
93,2022-02-01 02:18:50,72,5,"[22, 5]",USD,125,10.0,direct
94,2022-02-01 06:43:26,73,3,"[16, 8, 22]",USD,220,13.2,instagram
95,2022-02-01 07:53:53,93,4,[33],USD,20,4.4,ppc
96,2022-02-01 10:34:27,75,4,[19],USD,3,0.66,direct
97,2022-02-01 17:19:40,90,4,[25],USD,79,17.38,direct
98,2022-02-01 21:13:47,199,4,[5],USD,50,11.0,instagram
99,2022-02-02 02:06:18,94,4,[20],USD,17,3.74,organic
100,2022-02-02 03:07:21,102,4,[40],USD,24,5.28,instagram
101,2022-02-02 04:31:53,17,4,[40],USD,24,5.28,instagram
102,2022-02-02 22:27:41,183,3,[14],USD,450,27.0,ppc
103,2022-02-03 00:17:57,71,3,"[35, 4, 17]",USD,53,3.1799999999999997,instagram
104,2022-02-03 02:56:42,63,3,"[7, 22, 24]",USD,269,16.14,organic
105,2022-02-03 03:27:53,159,4,"[24, 11]",USD,169,37.18,instagram
106,2022-02-04 03:34:53,194,3,"[14, 10, 37]",USD,520,31.2,organic
107,2022-02-04 09:59:38,51,4,[3],USD,130,28.6,ppc
108,2022-02-04 17:03:42,193,2,[19],USD,3,0.42000000000000004,instagram
109,2022-02-04 18:35:41,175,1,[28],USD,75,13.5,organic
110,2022-02-05 16:10:53,158,4,"[8, 7, 6]",USD,125,27.5,direct
111,2022-02-05 19:24:19,180,1,[4],USD,30,5.3999999999999995,twitter
112,2022-02-06 02:03:50,22,4,"[35, 22]",USD,95,20.9,ppc
113,2022-02-06 06:59:20,197,3,[1],USD,225,13.5,ppc
114,2022-02-06 11:44:40,52,1,[12],USD,4,0.72,twitter
115,2022-02-06 18:56:49,31,3,[4],USD,30,1.7999999999999998,direct
116,2022-02-06 20:15:15,71,4,"[1, 16, 17]",USD,348,76.56,instagram
117,2022-02-07 17:10:49,228,3,[1],USD,225,13.5,organic
118,2022-02-07 17:27:20,182,4,[37],USD,30,6.6,facebook
119,2022-02-08 06:40:16,163,5,[33],USD,20,1.6,facebook
120,2022-02-08 12:07:42,46,4,"[10, 37, 10]",USD,110,24.2,facebook
121,2022-02-08 19:28:59,101,3,"[22, 12, 26, 34]",USD,249,14.94,direct
122,2022-02-08 21:03:21,122,4,[7],USD,95,20.9,facebook
123,2022-02-09 06:43:20,146,4,"[17, 4]",USD,33,7.26,facebook
124,2022-02-09 07:38:45,253,3,[29],USD,30,1.7999999999999998,facebook
125,2022-02-09 12:18:05,201,1,[7],USD,95,17.099999999999998,facebook
126,2022-02-09 14:55:10,215,4,"[6, 36, 31]",USD,60,13.2,direct
127,2022-02-10 02:18:03,12,4,"[4, 9, 13]",USD,94,20.68,facebook
128,2022-02-10 04:22:14,30,4,"[4, 1]",USD,255,56.1,organic
129,2022-02-11 23:02:17,5,3,"[4, 35]",USD,50,3.0,facebook
130,2022-02-11 23:23:14,46,4,"[9, 22, 25]",USD,214,47.08,instagram
131,2022-02-12 08:37:09,1,4,"[4, 1, 33]",USD,275,60.5,direct
132,2022-02-12 20:27:07,247,4,"[27, 15]",USD,145,31.9,instagram
133,2022-02-13 06:47:35,225,3,"[38, 38, 12, 29, 13, 31]",USD,113,6.779999999999999,ppc
134,2022-02-13 07:16:29,213,4,"[17, 21, 32, 39]",USD,187,41.14,direct
135,2022-02-13 12:19:14,79,4,[39],USD,15,3.3,instagram
136,2022-02-13 22:02:11,260,4,[9],USD,60,13.2,facebook
137,2022-02-13 23:05:59,135,4,"[31, 16, 38, 16]",USD,290,63.8,organic
138,2022-02-14 11:49:27,160,1,"[20, 27, 16]",USD,202,36.36,instagram
139,2022-02-14 19:20:28,273,3,[2],USD,250,15.0,facebook
140,2022-02-14 22:44:01,127,4,"[33, 5]",USD,70,15.4,ppc
141,2022-02-15 07:13:19,280,4,"[9, 24]",USD,159,34.98,instagram
142,2022-02-16 20:34:20,227,1,"[26, 37, 27]",USD,245,44.1,ppc
143,2022-02-16 21:54:41,155,4,"[8, 6]",USD,30,6.6,organic
144,2022-02-17 05:44:54,96,5,[18],USD,3,0.24,direct
145,2022-02-17 10:12:42,90,5,[30],USD,6,0.48,ppc
146,2022-02-17 20:56:34,248,4,[16],USD,120,26.4,instagram
