request_id,order_id,request_date,reason,feedback_rating
1,72,2022-02-02 23:36:50,Delivery issue,10
2,98,2022-02-06 18:42:53,Payment issue,6
3,51,2022-02-13 07:45:17,Product related query,10
4,11,2022-02-13 16:53:06,Product related query,10
5,69,2022-02-16 11:18:15,Product related query,1
6,28,2022-02-22 14:15:15,Delivery issue,5
7,102,2022-02-27 07:30:57,Delivery issue,2
8,3,2022-02-27 15:44:36,Product related query,9
9,125,2022-03-03 03:09:55,Product related query,6
10,129,2022-03-03 06:40:37,Product related query,8
11,132,2022-03-03 09:37:46,Product related query,2
12,73,2022-03-04 09:50:32,Payment issue,9
13,48,2022-03-04 23:30:32,Payment issue,10
14,113,2022-03-09 19:22:42,Delivery issue,8
15,79,2022-03-12 15:40:00,Product related query,4
16,106,2022-03-13 02:29:55,Wrong item received,9
17,49,2022-03-13 22:02:39,Payment issue,10
18,163,2022-03-15 08:47:43,Product related query,1
19,16,2022-03-18 09:30:15,Product related query,8
20,31,2022-03-23 15:22:01,Product related query,10
21,183,2022-03-27 22:56:25,Delivery issue,10
22,181,2022-03-28 21:28:53,Delivery issue,9
23,14,2022-03-31 12:35:22,Payment issue,3
24,7,2022-04-03 18:31:19,Product related query,8
25,204,2022-04-06 00:55:42,Delivery issue,9
26,53,2022-04-14 00:35:18,Product related query,8
27,138,2022-04-14 09:43:00,Delivery issue,9
28,24,2022-04-21 05:51:37,Delivery issue,1
29,7,2022-04-22 22:55:45,Wrong item received,8
30,110,2022-04-24 02:32:12,Product related query,10
31,79,2022-04-26 21:07:31,Product related query,7
32,123,2022-04-29 19:54:07,Delivery issue,1
33,301,2022-04-30 21:30:02,Payment issue,10
34,403,2022-05-01 14:52:49,Delivery issue,6
35,311,2022-05-04 07:20:21,Payment issue,9
36,472,2022-05-04 09:28:04,Delivery issue,7
37,405,2022-05-05 16:00:49,Delivery issue,7
38,583,2022-05-06 04:40:05,Wrong item received,10
39,153,2022-05-06 05:20:36,Payment issue,10
40,326,2022-05-06 23:57:38,Product related query,10
41,383,2022-05-07 09:49:34,Product related query,9
42,367,2022-05-07 16:50:56,Payment issue,8
43,341,2022-05-07 19:19:12,Product related query,1
44,192,2022-05-08 19:51:24,Wrong item received,5
45,330,2022-05-12 14:01:14,Product related query,6
46,412,2022-05-14 18:18:14,Delivery issue,10
47,84,2022-05-17 03:12:05,Wrong item received,4
48,10,2022-05-20 10:28:09,Product related query,1
49,383,2022-05-20 13:32:15,Product related query,8
50,445,2022-05-21 03:11:19,Delivery issue,8
51,614,2022-05-21 12:04:55,Product related query,5
52,446,2022-05-27 08:30:12,Delivery issue,8
