order_id,order_date,user_id,partner_id,ordered_product_skus,currency,basket_total,profit,referrer
1,2023-02-09 07:26:59,11,9,[7],USD,95,2.85,instagram
2,2023-02-11 06:37:09,25,2,[5],USD,50,7.000000000000001,direct
3,2023-02-11 07:28:43,27,9,"[40, 4, 1, 5]",USD,329,9.87,direct
4,2023-02-11 07:34:43,134,3,[34],USD,20,1.2,ppc
5,2023-02-12 07:14:27,87,4,[35],USD,20,4.4,instagram
6,2023-02-12 07:27:31,160,4,[36],USD,30,6.6,facebook
7,2023-02-12 07:52:27,26,3,"[31, 40]",USD,49,2.94,facebook
8,2023-02-13 07:07:13,186,6,[15],USD,80,13.600000000000001,ppc
9,2023-02-13 07:08:50,160,4,"[15, 22, 28, 40]",USD,254,55.88,instagram
10,2023-02-13 09:09:40,199,3,"[6, 22, 38]",USD,105,6.3,instagram
11,2023-02-13 11:14:17,123,8,"[18, 24]",USD,102,11.22,facebook
12,2023-02-14 07:18:09,161,9,"[5, 11, 11]",USD,190,5.7,direct
13,2023-02-14 07:20:06,85,3,"[2, 5, 2, 22, 28, 9]",USD,760,45.6,facebook
14,2023-02-14 07:21:57,181,9,[5],USD,50,1.5,facebook
15,2023-02-14 07:24:57,237,6,[12],USD,4,0.68,facebook
16,2023-02-15 07:13:25,103,4,"[22, 25, 11, 40, 23]",USD,333,73.26,facebook
17,2023-02-15 07:14:44,348,3,"[28, 28]",USD,150,9.0,instagram
18,2023-02-15 07:28:46,7,9,"[25, 3, 31, 36]",USD,264,7.92,direct
19,2023-02-16 07:13:46,497,9,"[32, 11, 26]",USD,335,10.049999999999999,instagram
20,2023-02-16 07:19:45,416,6,"[20, 3]",USD,147,24.990000000000002,instagram
21,2023-02-16 07:20:36,312,5,"[15, 15, 11, 17]",USD,233,18.64,facebook
22,2023-02-16 07:22:01,36,9,"[29, 24, 40]",USD,153,4.59,instagram
23,2023-02-16 07:24:51,343,9,[12],USD,4,0.12,facebook
24,2023-02-16 08:30:46,90,9,"[8, 29, 1, 38, 27]",USD,370,11.1,ppc
25,2023-02-18 07:09:12,87,9,"[17, 3, 13, 31]",USD,162,4.859999999999999,organic
26,2023-02-18 07:12:37,260,3,[36],USD,30,1.7999999999999998,instagram
27,2023-02-18 07:18:47,311,9,[29],USD,30,0.8999999999999999,facebook
28,2023-02-18 07:19:10,529,2,"[35, 20]",USD,37,5.180000000000001,instagram
29,2023-02-18 07:21:32,547,7,[12],USD,4,0.28,ppc
30,2023-02-18 07:33:34,656,5,"[17, 38]",USD,28,2.24,facebook
31,2023-02-18 08:11:49,35,9,[29],USD,30,0.8999999999999999,instagram
32,2023-02-21 07:21:17,442,8,[16],USD,120,13.2,ppc
33,2023-02-21 07:26:12,322,5,[17],USD,3,0.24,ppc
34,2023-02-21 07:39:14,706,4,[39],USD,15,3.3,direct
35,2023-02-21 07:48:58,738,8,"[21, 21, 15]",USD,188,20.68,organic
36,2023-02-21 08:27:38,475,7,[17],USD,3,0.21000000000000002,instagram
37,2023-02-21 09:12:40,343,9,[29],USD,30,0.8999999999999999,facebook
38,2023-02-21 14:42:50,76,4,"[1, 35]",USD,245,53.9,facebook
39,2023-02-22 07:04:42,835,9,[26],USD,150,4.5,ppc
40,2023-02-22 07:16:53,601,1,[4],USD,30,5.3999999999999995,instagram
41,2023-02-22 07:17:39,385,3,[39],USD,15,0.8999999999999999,facebook
42,2023-02-22 07:18:44,305,5,"[25, 27, 25, 35, 33]",USD,263,21.04,organic
43,2023-02-22 07:19:00,366,4,[23],USD,85,18.7,facebook
44,2023-02-22 07:20:37,346,4,[27],USD,65,14.3,ppc
45,2023-02-22 07:20:58,662,4,[30],USD,6,1.32,instagram
46,2023-02-22 07:25:24,495,7,"[35, 22]",USD,95,6.65,direct
47,2023-02-22 07:27:14,464,4,[22],USD,75,16.5,ppc
48,2023-02-22 07:31:43,882,9,[12],USD,4,0.12,instagram
49,2023-02-22 07:40:19,114,5,[12],USD,4,0.32,twitter
50,2023-02-22 07:50:48,654,3,"[35, 25, 38]",USD,124,7.4399999999999995,ppc
51,2023-02-22 07:53:13,492,5,"[5, 17]",USD,53,4.24,instagram
52,2023-02-23 06:54:34,27,8,[40],USD,24,2.64,ppc
53,2023-02-23 07:14:47,308,3,[35],USD,20,1.2,instagram
54,2023-02-23 07:25:46,190,2,"[20, 11, 4, 11, 24]",USD,286,40.040000000000006,facebook
55,2023-02-24 01:52:11,799,9,"[6, 35]",USD,25,0.75,ppc
56,2023-02-24 06:51:07,960,3,"[14, 38, 38]",USD,500,30.0,facebook
57,2023-02-24 07:06:09,359,4,"[9, 24]",USD,159,34.98,instagram
58,2023-02-24 07:13:17,236,9,"[10, 19, 9]",USD,103,3.09,instagram
59,2023-02-24 07:16:18,401,9,[21],USD,54,1.6199999999999999,instagram
60,2023-02-24 07:17:03,379,3,"[25, 11]",USD,149,8.94,direct
61,2023-02-24 07:20:21,464,3,"[17, 25, 31]",USD,107,6.42,instagram
62,2023-02-24 07:20:40,510,9,[8],USD,25,0.75,facebook
63,2023-02-24 07:21:42,706,4,[18],USD,3,0.66,organic
64,2023-02-24 07:51:03,155,3,[4],USD,30,1.7999999999999998,organic
65,2023-02-25 07:06:23,430,6,[3],USD,130,22.1,instagram
66,2023-02-25 07:19:47,20,5,"[5, 24, 30]",USD,155,12.4,organic
67,2023-02-25 07:21:33,1098,4,[31],USD,25,5.5,instagram
68,2023-02-25 07:22:19,156,8,"[5, 25]",USD,129,14.19,instagram
69,2023-02-25 07:29:12,82,4,"[40, 31, 15, 30]",USD,135,29.7,instagram
70,2023-02-25 07:34:02,724,8,[24],USD,99,10.89,organic
71,2023-02-25 12:43:32,36,4,[6],USD,5,1.1,instagram
72,2023-02-26 07:07:52,85,9,[38],USD,25,0.75,twitter
73,2023-02-26 07:11:36,252,4,"[33, 14, 2]",USD,720,158.4,instagram
74,2023-02-26 07:17:13,666,4,"[11, 1]",USD,295,64.9,ppc
75,2023-02-26 07:18:52,177,4,[18],USD,3,0.66,instagram
76,2023-02-26 07:19:53,89,1,[2],USD,250,45.0,instagram
77,2023-02-26 07:30:04,1030,2,"[31, 12]",USD,29,4.0600000000000005,facebook
78,2023-02-26 10:02:05,916,6,[33],USD,20,3.4000000000000004,instagram
79,2023-02-27 06:28:41,595,4,[19],USD,3,0.66,ppc
80,2023-02-27 07:13:38,861,7,"[5, 11, 1, 31]",USD,370,25.900000000000002,instagram
81,2023-02-27 07:18:27,188,9,[37],USD,30,0.8999999999999999,direct
82,2023-02-27 07:19:35,958,9,"[1, 23]",USD,310,9.299999999999999,instagram
83,2023-02-27 07:21:38,148,4,"[33, 2, 6]",USD,275,60.5,ppc
84,2023-02-27 07:21:52,289,5,"[15, 17, 15, 26, 21]",USD,367,29.36,instagram
85,2023-02-27 07:27:32,787,4,"[16, 31, 29]",USD,175,38.5,instagram
86,2023-02-27 07:29:25,548,7,[30],USD,6,0.42000000000000004,ppc
87,2023-02-27 07:34:18,860,8,[27],USD,65,7.15,direct
88,2023-02-28 07:19:17,536,9,[5],USD,50,1.5,ppc
89,2023-02-28 07:38:01,334,2,[29],USD,30,4.2,instagram
90,2023-03-02 12:44:02,721,5,"[16, 18]",USD,123,9.84,organic
91,2023-03-03 06:32:04,1412,8,"[40, 33, 35, 17]",USD,67,7.37,facebook
92,2023-03-03 06:51:56,170,4,[8],USD,25,5.5,instagram
93,2023-03-03 07:10:31,842,9,"[28, 10]",USD,115,3.4499999999999997,ppc
94,2023-03-03 07:13:31,1266,4,"[19, 31, 5]",USD,78,17.16,facebook
95,2023-03-03 07:22:43,834,7,"[32, 9]",USD,175,12.250000000000002,instagram
96,2023-03-03 07:23:53,512,4,"[5, 31, 24, 39, 40]",USD,213,46.86,instagram
97,2023-03-03 07:30:10,1160,4,[15],USD,80,17.6,ppc
98,2023-03-03 07:38:20,286,9,[3],USD,130,3.9,facebook
99,2023-03-03 07:38:58,1029,4,"[15, 19, 24]",USD,182,40.04,direct
100,2023-03-03 07:44:54,413,4,[36],USD,30,6.6,instagram
101,2023-03-03 11:25:48,1440,7,[25],USD,79,5.53,facebook
102,2023-03-03 15:31:35,225,7,"[32, 13, 32]",USD,234,16.380000000000003,facebook
103,2023-03-03 22:30:27,528,3,[12],USD,4,0.24,facebook
104,2023-03-04 07:03:25,1254,3,"[26, 39, 5]",USD,215,12.9,facebook
105,2023-03-04 07:05:00,761,1,[10],USD,40,7.199999999999999,ppc
106,2023-03-04 07:08:24,734,4,"[24, 11, 8]",USD,194,42.68,instagram
107,2023-03-04 07:12:03,1004,9,"[4, 17, 22]",USD,108,3.2399999999999998,ppc
108,2023-03-04 07:17:48,1263,1,[39],USD,15,2.6999999999999997,organic
109,2023-03-04 07:18:12,540,1,"[17, 3]",USD,133,23.939999999999998,twitter
110,2023-03-04 07:18:29,1295,8,"[17, 20]",USD,20,2.2,instagram
111,2023-03-04 07:22:06,262,7,[12],USD,4,0.28,ppc
112,2023-03-04 07:24:33,414,1,[34],USD,20,3.5999999999999996,organic
113,2023-03-04 07:24:52,1218,1,[15],USD,80,14.399999999999999,organic
114,2023-03-04 07:36:21,1088,6,"[3, 17, 17, 3]",USD,266,45.220000000000006,organic
115,2023-03-04 07:46:49,81,4,"[3, 34]",USD,150,33.0,organic
116,2023-03-04 08:47:17,1319,8,"[5, 38, 12]",USD,79,8.69,instagram
117,2023-03-04 13:23:30,346,7,"[15, 31]",USD,105,7.3500000000000005,twitter
